name,zip_code,email
ABZAC,16500,mairie-abzac@orange.fr
AGRIS,16110,mairie.agris@wanadoo.fr
AIGNES-ET-PUYPEROUX,16190,mairie.aignes@wanadoo.fr
AIGRE,16140,mairie-aigre@wanadoo.fr
ALLOUE,16490,mairiedalloue@orange.fr
AMBERAC,16140,mairie.amberac@orange.fr
AMBERNAC,16490,mairie-ambernac@wanadoo.fr
AMBLEVILLE,16300,ambleville16.mairie@wanadoo.fr
ANAIS,16560,mairieanais@wanadoo.fr
ANGEAC-CHAMPAGNE,16130,mairie.angeacchampagne@wanadoo.fr
ANGEAC-CHARENTE,16120,mairie-angeac-charente@orange.fr
ANGEDUC,16300,mairie-angeduc@wanadoo.fr
ANGOULEME,16000,angouleme@mairie-angouleme.fr
ANSAC-SUR-VIENNE,16500,mairie.ansac@wanadoo.fr
ANVILLE,16170,""
ARS,16130,mairie-ars-16@wanadoo.fr
ASNIERES-SUR-NOUERE,16290,mairie@asnieres-sur-nouere.fr
AUBETERRE-SUR-DRONNE,16390,mairie.aubeterre-sur-dronne@wanadoo.fr
AUBEVILLE,16250,mairie.aubeville@wanadoo.fr
AUGE-SAINT-MEDARD,16170,mairie.auge-stmedard@wanadoo.fr
AUNAC,16460,mairie.aunac@wanadoo.fr
AUSSAC-VADALLE,16560,aussac.vadalle@wanadoo.fr
BAIGNES-SAINTE-RADEGONDE,16360,baignes.charente@wanadoo.fr
BALZAC,16430,mairie@balzac.fr
BARBEZIERES,16140,barbezieres@wanadoo.fr
BARBEZIEUX-SAINT-HILAIRE,16300,secretariat@mairie-barbezieux.fr
BARDENAC,16210,mairiedebardenac@wanadoo.fr
BARRET,16300,mairie.barret@wanadoo.fr
BARRO,16700,mairie-barro@wanadoo.fr
BASSAC,16120,maire@mairie-bassac.cegeteldsl.com
BAYERS,16460,communedebayers@wanadoo.fr
BAZAC,16210,bazac.mairie@wanadoo.fr
BEAULIEU-SUR-SONNETTE,16450,""
BECHERESSE,16250,mairiedebecheresse@wanadoo.fr
BELLON,16210,mairie.bellon@wanadoo.fr
BENEST,16350,mairie-benest@wanadoo.fr
BERNAC,16700,mairie.bernac16@orange.fr
BERNEUIL,16480,mairie.berneuil@wanadoo.fr
BESSAC,16250,mairie.bessac@wanadoo.fr
BESSE,16140,communebesse@wanadoo.fr
BIGNAC,16170,mairiebignac@wanadoo.fr
BIOUSSAC,16700,mairie.bioussac@wanadoo.fr
BIRAC,16120,mairie.birac16@wanadoo.fr
BLANZAC-PORCHERESSE,16250,mairie-blanzac@wanadoo.fr
BLANZAGUET-SAINT-CYBARD,16320,blanzaguet.mairie@wanadoo.fr
BOISBRETEAU,16480,mairie-boisbreteau@wanadoo.fr
BONNES,16390,mairiebonnes@wanadoo.fr
BONNEUIL,16120,mairie.bonneuil@wanadoo.fr
BONNEVILLE,16170,mairie.bonneville@wanadoo.fr
BORS-DE-BAIGNES,16360,mairie-bors-de-b@wanadoo.fr
BORS-DE-MONTMOREAU,16190,mairie.borsdemontmoreau@wanadoo.fr
BOUEX,16410,mairiedebouex@wanadoo.fr
BOURG-CHARENTE,16200,mairie-bourg-chte@wanadoo.fr
BOUTEVILLE,16120,mairie.bouteville@wanadoo.fr
BOUTIERS-SAINT-TROJAN,16100,mairiebst@alsatis.net
BRETTES,16240,mairie.brettes@wanadoo.fr
BREVILLE,16370,mairie@breville.org
BRIE,16590,mairie.brie@wanadoo.fr
BRIE-SOUS-BARBEZIEUX,16300,mairie-brie-sous-barbezieux@wanadoo.fr
BRIE-SOUS-CHALAIS,16210,mairiedebriesouschalais@wanadoo.fr
BRIGUEUIL,16420,mairie.brigueuil.16@wanadoo.fr
BRILLAC,16500,mairie-brillac@wanadoo.fr
BROSSAC,16480,mairie.brossac@wanadoo.fr
BUNZAC,16110,mairie.bunzac@wanadoo.fr
CELLEFROUIN,16260,mairiecellefrouin@wanadoo.fr
CELLETTES,16230,cellettes.mairie@wanadoo.fr
CHABANAIS,16150,mairie-chabanais@wanadoo.fr
CHABRAC,16150,chabrac.cne@wanadoo.fr
CHADURIE,16250,mairie.chadurie@wanadoo.fr
CHALAIS,16210,contact@chalais.net
CHALLIGNAC,16300,mairie.challignac@wanadoo.fr
CHAMPAGNE-MOUTON,16350,mairie-champagne@wanadoo.fr
CHAMPAGNE-VIGNY,16250,mairie.champagne-vigny@wanadoo.fr
CHAMPMILLON,16290,mairie.champmillon@wanadoo.fr
CHAMPNIERS,16430,courrier@champniers.fr
CHANTILLAC,16360,mairie.chantillac@wanadoo.fr
CHARMANT,16320,commune-charmant@wanadoo.fr
CHARME,16140,mairiedecharme@orange.fr
CHARRAS,16380,secretariat@mairie-charras.fr
CHASSENEUIL-SUR-BONNIEURE,16260,mairie.chasseneuil@wanadoo.fr
CHASSENON,16150,mairie.chassenon@wanadoo.fr
CHASSIECQ,16350,mairie-chassiecq@wanadoo.fr
CHASSORS,16200,mairie.chassors@wanadoo.fr
CHATEAUBERNARD,16100,mairie.chateaubernard@wanadoo.fr
CHATEAUNEUF-SUR-CHARENTE,16120,ville.de.chateauneuf.16@wanadoo.fr
CHATIGNAC,16480,mairie.chatignac@wanadoo.fr
CHAVENAT,16320,mairie-de-chavenat@alsatis.net
CHAZELLES,16380,mairie@chazelles-sur-lyon.fr
CHENOMMET,16460,mairie.chenommet@wanadoo.fr
CHENON,16460,mairiedechenon@wanadoo.fr
CHERVES-CHATELARS,16310,mairie.cherves.chatelars@wanadoo.fr
CHERVES-RICHEMONT,16370,com.cherves-richt@wanadoo.fr
CHILLAC,16480,mairie.chillac@wanadoo.fr
CHIRAC,16150,mairie.chirac@wanadoo.fr
CLAIX,16440,mairie.de.claix@wanadoo.fr
COGNAC,16100,mairie@ville-cognac.fr
COMBIERS,16320,mairiedecombiers@wanadoo.fr
CONDAC,16700,mairie-condac@wanadoo.fr
CONDEON,16360,mairie.condeon@wanadoo.fr
CONFOLENS,16500,mairie-confolens@wanadoo.fr
